"","city","year","origintime","magnitude","depth"
"84","Canterbury","2010",2010-09-03 17:55:04,4.293,5.9286
"85","Canterbury","2010",2010-09-03 17:46:21,4.171,15.1819
"86","Canterbury","2010",2010-09-03 17:44:03,4.264,9.8504
"87","Canterbury","2010",2010-09-03 17:43:08,4.071,7.0086
"88","Canterbury","2010",2010-09-03 17:39:33,4.233,5
"89","Canterbury","2010",2010-09-03 17:38:54,4.533,5
"90","Canterbury","2010",2010-09-03 17:38:11,4.514,9.621
"91","Canterbury","2010",2010-09-03 17:31:21,4.397,10.0522
"92","Canterbury","2010",2010-09-03 17:31:00,4.408,8.4279
"93","Canterbury","2010",2010-09-03 17:28:16,4.441,12.7174
"94","Canterbury","2010",2010-09-03 17:28:08,4.118,8.852
"95","Canterbury","2010",2010-09-03 17:26:04,4.692,7.8645
"96","Canterbury","2010",2010-09-03 17:24:25,4.266,5
"97","Canterbury","2010",2010-09-03 17:24:05,4.255,11.4933
"98","Canterbury","2010",2010-09-03 17:23:52,4.113,6.8935
"99","Canterbury","2010",2010-09-03 17:22:40,4.575,12
"100","Canterbury","2010",2010-09-03 17:21:48,4.18,11.0415
"101","Canterbury","2010",2010-09-03 17:21:41,4.202,7.6136
"102","Canterbury","2010",2010-09-03 17:20:54,4.19,10.477
"103","Canterbury","2010",2010-09-03 17:18:37,5.05,5.7404
"104","Canterbury","2010",2010-09-03 17:18:21,4.728,8.3859
"105","Canterbury","2010",2010-09-03 17:18:06,4.529,10
"106","Canterbury","2010",2010-09-03 17:17:16,4.203,18.0402
"107","Canterbury","2010",2010-09-03 17:13:41,4.301,8.8772
"108","Canterbury","2010",2010-09-03 17:09:25,4.245,7.0828
"109","Canterbury","2010",2010-09-03 17:08:56,4.117,9.9906
"110","Canterbury","2010",2010-09-03 17:06:31,4.699,8.872
"111","Canterbury","2010",2010-09-03 17:01:46,4.214,9.1659
"112","Canterbury","2010",2010-09-03 17:01:12,4.315,9.514
"113","Canterbury","2010",2010-09-03 16:59:51,4.767,7.4454
"114","Canterbury","2010",2010-09-03 16:59:20,5.504,8.0537
"115","Canterbury","2010",2010-09-03 16:59:12,4.686,9.1392
"116","Canterbury","2010",2010-09-03 16:58:05,4.292,5
"117","Canterbury","2010",2010-09-03 16:57:56,4.522,10.1487
"118","Canterbury","2010",2010-09-03 16:56:10,4.751,9.5176
"119","Canterbury","2010",2010-09-03 16:52:56,5.468,7.4831
"120","Canterbury","2010",2010-09-03 16:51:06,4.343,9.4366
"121","Canterbury","2010",2010-09-03 16:50:05,4.664,9.2996
"122","Canterbury","2010",2010-09-03 16:49:49,4.174,20.357
